time,theta1,theta2,theta1_dot,theta1_kal,theta2_kal,theta1dot_kal,motor_value
0,0,0,0,0,0,0,0
10,-0.159175,-0.0314,0.829421,-0.1121,0,0.236756,72
20,0.159441,-0.4239,0.358812,0.148366,-0.3925,1.99699,100
30,-0.255822,-0.3925,-1.87764,0.185221,-0.4239,-0.776079,100
40,-0.48717,-0.1099,-1.79885,-0.216179,-0.1727,-2.4546,33
50,-0.156572,0.1256,0.427487,-0.38666,0.1256,-0.378486,100
60,-0.119368,-0.0471,1.40597,-0.285428,-0.0157,0.587251,100
70,-0.172893,-0.4553,2.32642,-0.172054,-0.4553,1.88234,100
80,0.276097,-1.0519,3.68022,-0.00496474,-1.0048,3.19253,86
90,0.463002,-1.3345,0.827824,0.311888,-1.3345,1.1632,100
100,0.597503,-1.2089,-0.383301,0.405288,-1.1932,-0.108883,100
110,0.0141562,-0.8321,-0.89011,0.389698,-0.8635,-0.617316,100
120,0.235189,-0.2826,-0.832615,0.317167,-0.314,-0.558157,100
130,0.061788,0.0785,-0.861363,0.271796,0.0942,-0.606834,100
140,0.353184,0.4396,-1.90852,0.201185,0.4082,-1.69377,100
150,0.059847,1.099,-2.81567,0.0799017,1.0833,-2.45031,100
160,-0.306697,1.7584,-4.06565,-0.0886127,1.6171,-3.68584,17
170,-0.874142,2.512,-4.89827,-0.279444,2.3393,-3.03659,100
180,-0.975163,2.6376,-1.6796,-0.617933,2.6533,-1.95368,100
190,-0.985128,2.198,0.374783,-0.800457,2.2137,0.258939,100
200,-0.95943,1.7427,1.25052,-0.857604,1.8055,1.08553,100
210,-1.26459,1.4601,1.40011,-0.826981,1.4758,1.32683,100
220,-1.09633,1.3031,1.719,-0.79209,1.2403,1.41817,100
230,-0.485089,0.785,2.32802,-0.696435,0.8478,1.95534,100
240,-0.335968,0.2669,2.60325,-0.579959,0.3297,1.73619,100
250,-0.146282,-0.6123,3.16223,-0.429524,-0.5024,2.95325,100
260,-0.708786,-1.0833,5.02231,-0.224896,-1.0519,4.41982,44
270,1.01597,-1.6014,1.55929,0.124493,-1.5857,1.36157,100
280,0.799951,-1.6485,-0.247016,0.317867,-1.6485,-0.141373,100
